id,upc,product_name,brand_name,recall_date,reason,source,severity,distribution_pattern,plain_language_summary,created_at
984,,sapori amaretti almonds d. coluccio & sons inc.,D. Coluccio & Sons Inc.,12/14/25,Contains elevated levels of hydrocyanic acid,fda,Class II,"[NY, NJ, GA, CA]",,4/8/26
985,,qunol extra strength turmeric capsule quten research institiute llc,QUTEN RESEARCH INSTITIUTE LLC,12/16/25,Mold contamination detected for raw material lots that were produced in July and used in finished goods.,fda,Class II,"[TX, FL, CA, NC, MI, MN, VA, NJ, MA, OH, IL, AL, CT, TN, NY, RI, SC, OK, GA, MN, WI, NV, IN, IA, CO, LA, OR, KY, DE]",,4/8/26
986,72981003035,snack crackers 100to en boca ciento en boca rovira 1 5 12 pack snack crackers to go 12 packets 1 5 bag per box 12 1 5 packets box 6 box per case upc 072981023064 100to en boca ciento en boca rovira 7 7 pack snack crackers to go 7 packets 1 bag per box 18 ,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
987,72981003073,snack crackers 100to en boca ciento en boca rovira 1 5 12 pack snack crackers to go 12 packets 1 5 bag per box 12 1 5 packets box 6 box per case upc 072981023064 100to en boca ciento en boca rovira 7 7 pack snack crackers to go 7 packets 1 bag per box 18 ,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
988,72981003127,tempting crackers tray rovira rovira biscuit corporation,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
989,72981005022,vanilla econo galletas de vainilla rovira biscuit corporation,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
990,72981005022,vainilla crackers great value galletas vainilla rovira biscuit corporation,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
991,72981005121,tita crackers rovira rovira biscuit corporation,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
992,72981005343,tita crackers rovira rovira biscuit corporation,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, VI, PR]",,4/8/26
993,72981005374,vanilla treats crackers rovira rovira biscuit corporation,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
994,72981023064,snack crackers 100to en boca ciento en boca rovira 1 5 12 pack snack crackers to go 12 packets 1 5 bag per box 12 1 5 packets box 6 box per case upc 072981023064 100to en boca ciento en boca rovira 7 7 pack snack crackers to go 7 packets 1 bag per box 18 ,Rovira Biscuit Corporation,12/17/25,"Undeclared colors FD&C Yellow #6, and FD&C Red 40",fda,Class II,"[GA, TX, MA, IL, MD, PR, USVI]",,4/8/26
995,21130132249,waterfront bistro brand frozen raw shrimp ez peel shell tail on colossal direct source seafood llc,DIRECT SOURCE SEAFOOD LLC,12/18/25,Shrimp may be contaminated with Cesium-137 (Cs-137).,fda,Class II,"[CT, MA, NH, NY, PA, VT, CO, IA, ID, IL, IN, MT, ND, NV, OR, UT, WY]",,4/8/26
996,41735013583,market 32 by brand frozen raw shrimp easy peel shell on 26 30 per pound net 16oz product is packaged in a clear flexible plastic package with brown label and blue and green printing upc is 0 41735 01358 3 product of indonesia proudly distributed by inc sc,DIRECT SOURCE SEAFOOD LLC,12/18/25,Shrimp may be contaminated with Cesium-137 (Cs-137).,fda,Class II,"[CT, MA, NH, NY, PA, VT, CO, IA, ID, IL, IN, MT, ND, NV, OR, UT, WY]",,4/8/26
997,,mini gaceniga authentic cuban loaf cake classic catao market llc,CATAO MARKET LLC,12/18/25,Undeclared colors FD&C Yellow #5,fda,Class II,[FL],,4/8/26
998,,gacen iga authentic cuban loaf cake classic catao market llc,CATAO MARKET LLC,12/18/25,Undeclared colors FD&C Yellow #5,fda,Class II,[FL],,4/8/26
999,,mini gaceniga authentic cuban loaf cake raisins catao market llc,CATAO MARKET LLC,12/18/25,Undeclared colors FD&C Yellow #5,fda,Class II,[FL],,4/8/26
1000,,gaceniga authentic cuban loaf cake raisins catao market llc,CATAO MARKET LLC,12/18/25,Undeclared colors FD&C Yellow #5,fda,Class II,[FL],,4/8/26
